,date,team,player,action,notes
6311,2017-10-18,Celtics,Gordon Hayward,relinquished,placed on IL with fractured tibia in left leg and dislocated left ankle (out for season)
6312,2017-10-18,Celtics,Jabari Bird,acquired,activated from IL
6313,2017-10-18,Grizzlies,Kobi Simmons,relinquished,placed on IL
6314,2017-10-18,Grizzlies,Vincent Hunter / Vince Hunter,relinquished,placed on IL
6315,2017-10-18,Hawks,Isaiah Taylor,relinquished,placed on IL
6316,2017-10-18,Hawks,Miles Plumlee,relinquished,placed on IL with strained right quadriceps
6317,2017-10-18,Hawks,Nicolas Brussino,relinquished,placed on IL
6318,2017-10-18,Heat,A.J. Hammons,relinquished,placed on IL with illness
6319,2017-10-18,Heat,Derrick Walton Jr.,relinquished,placed on IL
6320,2017-10-18,Heat,Okaro White,relinquished,placed on IL with sprained/strained left shoulder
6321,2017-10-18,Hornets,Mangok Mathiang,relinquished,placed on IL
6322,2017-10-18,Hornets,Marcus Paige,relinquished,placed on IL
6323,2017-10-18,Jazz,Dante Exum,relinquished,placed on IL recovering from surgery on separated left shoulder
6324,2017-10-18,Jazz,Eric Griffin,relinquished,placed on IL
6325,2017-10-18,Jazz,Raulzinho Neto / Raul Neto,relinquished,placed on IL with right hamstring injury
6326,2017-10-18,Jazz,Tony Bradley,relinquished,placed on IL
6327,2017-10-18,Kings,Harry Giles,relinquished,placed on IL recovering from surgery / rehab of knees
6328,2017-10-18,Kings,Jack Cooley,relinquished,placed on IL
6329,2017-10-18,Kings,Zach Randolph,relinquished,placed on IL recovering from oral surgery
6330,2017-10-18,Magic,Adreian Payne,relinquished,placed on IL with fractured left hand
6331,2017-10-18,Magic,Jamel Artis,relinquished,placed on IL
6332,2017-10-18,Magic,Khem Birch,relinquished,placed on IL
6333,2017-10-18,Magic,Wesley Iwundu / Wes Iwundu,relinquished,placed on IL with strained right hamstring
6334,2017-10-18,Mavericks,Gian Clavell,relinquished,placed on IL
6335,2017-10-18,Mavericks,Johnathan Motley,relinquished,placed on IL
6336,2017-10-18,Mavericks,Josh McRoberts,relinquished,placed on IL with knee injury
6337,2017-10-18,Mavericks,Seth Curry,relinquished,placed on IL with stress reaction in tibia in left leg (out for season)
6338,2017-10-18,Nets,Isaiah Whitehead,relinquished,placed on IL
6339,2017-10-18,Nets,Jacob Wiley / Jake Wiley,relinquished,placed on IL
6340,2017-10-18,Nets,Jeremy Lin,relinquished,ruptured patella tendon in right knee (out for season)
6341,2017-10-18,Nets,Tyler Zeller,relinquished,placed on IL
6342,2017-10-18,Nets,Yakuba Ouattara / Billy Ouattara,relinquished,placed on IL
6343,2017-10-18,Nuggets,Monte Morris,relinquished,placed on IL
6344,2017-10-18,Nuggets,Torrey Craig,relinquished,placed on IL
6345,2017-10-18,Nuggets,Tyler Lydon,relinquished,placed on IL
6346,2017-10-18,Pacers,Alex Poythress,relinquished,placed on IL
6347,2017-10-18,Pacers,Bogdan Bogdanovic,relinquished,placed on IL with sprained right ankle
6348,2017-10-18,Pacers,Edmond Sumner,relinquished,placed on IL with surgery on left knee
6349,2017-10-18,Pacers,Glenn Robinson III,relinquished,placed on IL recovering from surgery on left ankle
6350,2017-10-18,Pacers,Ike Anigbogu,relinquished,knee injury (DTD)
6351,2017-10-18,Pistons,Anthony Tolliver,relinquished,placed on IL
6352,2017-10-18,Pistons,Dwight Buycks,relinquished,placed on IL with strained left hip flexor
6353,2017-10-18,Pistons,Luis Montero,relinquished,placed on IL
6354,2017-10-18,Rockets,Chris Paul,relinquished,bruised left knee (DTD)
6355,2017-10-18,Spurs,Darrun Hilliard,relinquished,placed on IL
6356,2017-10-18,Spurs,Matt Costello,relinquished,placed on IL
6357,2017-10-18,Suns,Alan Williams,relinquished,placed on IL recovering from surgery on right knee to repair torn meniscus
6358,2017-10-18,Suns,Alex Len,relinquished,placed on IL with sprained left ankle
6359,2017-10-18,Suns,Brandon Knight,relinquished,placed on IL recovering from torn ACL in left knee (out for season)
6360,2017-10-18,Suns,Davon Reed,relinquished,placed on IL recovering from surgery on left knee to repair torn meniscus
6361,2017-10-18,Suns,Jared Dudley,relinquished,placed on IL recovering from surgery to repair ligament and bone in toe
6362,2017-10-18,Timberwolves,Anthony Brown,relinquished,placed on IL
6363,2017-10-18,Timberwolves,Justin Patton,relinquished,placed on IL frecovering from surgery on left foot to repair fracture
6364,2017-10-18,Wizards,Devin Robinson,relinquished,placed on IL with stress fracture in left foot
6365,2017-10-18,Wizards,Markieff Morris,relinquished,placed on IL recovering from surgery to repair sports hernia
6366,2017-10-18,Wizards,Mike Young,relinquished,placed on IL
6367,2017-10-18,Wizards,Sheldon McClellan / Sheldon Mac,relinquished,placed on IL recovering from surgery to repair torn left Achilles tendon
6368,2017-10-19,Bulls,Cameron Payne,relinquished,placed on IL with recovering from surgery to repair fractured right foot
6369,2017-10-19,Bulls,Kris Dunn,relinquished,placed on IL with dislocated left index finger
6370,2017-10-19,Bulls,Nikola Mirotic,relinquished,placed on IL with fractured bones in face
6371,2017-10-19,Bulls,Zach LaVine,relinquished,placed on IL recovering from torn ACL in left knee
6372,2017-10-19,Clippers,C.J. Williams,relinquished,placed on IL
6373,2017-10-19,Clippers,Jamil Wilson,relinquished,placed on IL with lower back spasms
6374,2017-10-19,Clippers,Jawun Evans,relinquished,placed on IL
6375,2017-10-19,Grizzlies,JaMychal Green,relinquished,sprained left ankle (DTD)
6376,2017-10-19,Knicks,Jarrett Jack,relinquished,placed on IL
6377,2017-10-19,Knicks,Luke Kornet,relinquished,placed on IL
6378,2017-10-19,Knicks,Mindaugas Kuzminskas,relinquished,placed on IL
6379,2017-10-19,Lakers,Ivica Zubac,relinquished,placed on IL
6380,2017-10-19,Lakers,Josh Hart,relinquished,placed on IL with bursitis in left heel
6381,2017-10-19,Lakers,Thomas Bryant,relinquished,placed on IL
6382,2017-10-19,Lakers,Vander Blue,relinquished,placed on IL
6383,2017-10-19,Pacers,Myles Turner,relinquished,sore neck (DTD)
6384,2017-10-19,Raptors,Bruno Caboclo,relinquished,placed on IL
6385,2017-10-19,Raptors,K.J. McDaniels,relinquished,placed on IL
6386,2017-10-19,Raptors,Lorenzo Brown,relinquished,placed on IL
6387,2017-10-19,Raptors,Malcolm Miller,relinquished,placed on IL with surgery on right ankle
6388,2017-10-19,Thunder,Daniel Hamilton,relinquished,placed on IL
6389,2017-10-19,Thunder,Kyle Singler,relinquished,placed on IL
6390,2017-10-19,Thunder,P.J. Dozier,relinquished,placed on IL
6391,2017-10-20,Blazers,Wade Baldwin IV,relinquished,placed on IL with surgery on right thumb
6392,2017-10-20,Blazers,C.J. McCollum,acquired,reinstated from suspension
6393,2017-10-20,Blazers,Zach Collins,acquired,returned to lineup
6394,2017-10-20,Cavaliers,Derrick Rose,relinquished,sprained left ankle (DTD)
6395,2017-10-20,Cavaliers,London Perrantes,relinquished,placed on IL
6396,2017-10-20,Celtics,Marcus Smart,relinquished,placed on IL with sore ankle
6397,2017-10-20,Celtics,Guerschon Yabusele,acquired,activated from IL
6398,2017-10-20,Hawks,DeAndre' Bembry / DeAndre Bembry,relinquished,placed on IL with fractured right wrist
6399,2017-10-20,Hawks,Nicolas Brussino,acquired,activated from IL
6400,2017-10-20,Heat,Hassan Whiteside,relinquished,bruised left knee (DTD)
6401,2017-10-20,Hornets,Cody Zeller,relinquished,bone bruise in right knee (DTD)
6402,2017-10-20,Hornets,Michael Carter-Williams,relinquished,sore knee (DTD)
6403,2017-10-20,Jazz,Nate Wolters,relinquished,placed on IL
6404,2017-10-20,Jazz,Raulzinho Neto / Raul Neto,acquired,activated from IL
6405,2017-10-20,Kings,Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis,relinquished,placed on IL
6406,2017-10-20,Kings,Zach Randolph,acquired,activated from IL
6407,2017-10-20,Lakers,Luol Deng,relinquished,placed on IL with surgery on right pectoral muscle (out indefinitely)
6408,2017-10-20,Lakers,Josh Hart,acquired,activated from IL
6409,2017-10-20,Magic,Aaron Gordon,relinquished,placed on IL with sore left ankle
6410,2017-10-20,Magic,Wesley Iwundu / Wes Iwundu,acquired,activated from IL
6411,2017-10-20,Mavericks,Dennis Smith Jr.,relinquished,placed on IL with sore left knee
6412,2017-10-20,Mavericks,Devin Harris,relinquished,death in family (DTD)
6413,2017-10-20,Mavericks,Gian Clavell,acquired,activated from IL
6414,2017-10-20,Nets,Jeremy Lin,relinquished,placed on IL recovering from surgery on right knee to repair ruptured patella tendon (out for season)
6415,2017-10-20,Nets,Tyler Zeller,acquired,activated from IL
6416,2017-10-20,Pacers,Myles Turner,relinquished,placed on IL with concussion
6417,2017-10-20,Pacers,Alex Poythress,acquired,activated from IL
6418,2017-10-20,Pacers,Ike Anigbogu,acquired,returned to lineup
6419,2017-10-20,Pistons,Boban Marjanovic,relinquished,placed on IL
6420,2017-10-20,Pistons,Reggie Bullock,relinquished,placed on IL for suspension
6421,2017-10-20,Pistons,Anthony Tolliver,acquired,activated from IL
6422,2017-10-20,Suns,Alex Len,acquired,activated from IL
6423,2017-10-20,Warriors,Kevon Looney,relinquished,placed on IL
6424,2017-10-20,Warriors,Omri Casspi,relinquished,placed on IL with sprained left ankle
6425,2017-10-20,Warriors,Andre Iguodala,acquired,activated from IL
6426,2017-10-20,Warriors,Quinn Cook,acquired,activated from IL
6427,2017-10-20,Wizards,Jason Smith,relinquished,placed on IL with sprained right shoulder
6428,2017-10-20,Wizards,Mike Young,acquired,activated from IL
6429,2017-10-21,76ers,Joel Embiid,relinquished,placed on IL with rehab of left knee
6430,2017-10-21,76ers,Jahlil Okafor,acquired,returned to lineup
6431,2017-10-21,76ers,James Michael McAdoo / James McAdoo (Michael),acquired,activated from IL
6432,2017-10-21,Bucks,Joel Bolomboy,relinquished,placed on IL
6433,2017-10-21,Bucks,Rashad Vaughn,relinquished,placed on IL
6434,2017-10-21,Bulls,Bobby Portis,relinquished,placed on IL for suspension
6435,2017-10-21,Cavaliers,Derrick Rose,relinquished,placed on IL with sprained left ankle
6436,2017-10-21,Cavaliers,Ante Zizic,acquired,activated from IL
6437,2017-10-21,Grizzlies,JaMychal Green,relinquished,placed on IL with sprained left ankle
6438,2017-10-21,Grizzlies,Kobi Simmons,acquired,activated from IL
6439,2017-10-21,Heat,Hassan Whiteside,relinquished,placed on IL with bruised left knee
6440,2017-10-21,Heat,A.J. Hammons,acquired,activated from IL
6441,2017-10-21,Heat,Okaro White,acquired,activated from IL
6442,2017-10-21,Jazz,Rodney Hood,relinquished,placed on IL with strained left calf
6443,2017-10-21,Jazz,Nate Wolters,acquired,activated from IL
6444,2017-10-21,Knicks,Frank Ntilikina,relinquished,placed on IL with sprained left ankle
6445,2017-10-21,Knicks,Isaiah Hicks,relinquished,placed on IL
6446,2017-10-21,Knicks,Jarrett Jack,acquired,activated from IL
6447,2017-10-21,Magic,Elfrid Payton,relinquished,placed on IL with sore/strained left hamstring
6448,2017-10-21,Magic,Khem Birch,acquired,activated from IL
6449,2017-10-21,Mavericks,Devin Harris,relinquished,placed on IL with death in family
6450,2017-10-21,Nuggets,Richard Jefferson,relinquished,placed on IL
6451,2017-10-21,Pelicans,DeMarcus Cousins,relinquished,"fined $25,000 by NBA for using inappropriate language towards a fan during game"
6452,2017-10-21,Pistons,Eric Moreland,relinquished,placed on IL
6453,2017-10-21,Pistons,Boban Marjanovic,acquired,activated from IL
6454,2017-10-21,Raptors,Jonas Valanciunas,relinquished,sore/sprained left ankle (DTD)
6455,2017-10-21,Rockets,Chris Paul,relinquished,placed on IL with bruised left knee
6456,2017-10-21,Rockets,Troy Williams,acquired,activated from IL
6457,2017-10-22,Celtics,Kyrie Irving,relinquished,"fined $25,000 by NBA for using inappropriate language towards a fan during game"
6458,2017-10-22,Clippers,Milos Teodosic / Milos Tedosic,relinquished,plantar fascia in left foot (out indefinitely)
6459,2017-10-22,Hawks,Nicolas Brussino,relinquished,placed on IL
6460,2017-10-22,Hawks,Isaiah Taylor,acquired,activated from IL
6461,2017-10-22,Lakers,Alex Caruso,relinquished,placed on IL
6462,2017-10-22,Lakers,Ivica Zubac,acquired,activated from IL
6463,2017-10-22,Lakers,Kentavious Caldwell-Pope,acquired,reinstated from suspension
6464,2017-10-23,76ers,James Michael McAdoo / James McAdoo (Michael),relinquished,placed on IL
6465,2017-10-23,76ers,Joel Embiid,acquired,activated from IL
6466,2017-10-23,Bucks,Malcolm Brogdon,relinquished,sprained left ankle (DTD)
6467,2017-10-23,Hawks,Dennis Schroder,relinquished,placed on IL with sprained left ankle
6468,2017-10-23,Hawks,Ersan Ilyasova,relinquished,strained left knee (DTD)
6469,2017-10-23,Hawks,Nicolas Brussino,acquired,activated from IL
6470,2017-10-23,Hornets,Julyan Stone,relinquished,placed on IL with strained left hamstring
6471,2017-10-23,Hornets,Marcus Paige,relinquished,placed on IL
6472,2017-10-23,Hornets,Michael Carter-Williams,relinquished,placed on IL with sore knee
6473,2017-10-23,Hornets,Mangok Mathiang,acquired,activated from IL
6474,2017-10-23,Kings,JaKarr Sampson,relinquished,placed on IL
6475,2017-10-23,Mavericks,Dennis Smith Jr.,acquired,activated from IL
6476,2017-10-23,Nets,Sean Kilpatrick,relinquished,personal reasons (DTD)
6477,2017-10-23,Nuggets,Juancho Hernangomez / Juan Hernangomez,relinquished,placed on IL with mononucleosis
6478,2017-10-23,Nuggets,Richard Jefferson,acquired,activated from IL
6479,2017-10-23,Pacers,Bogdan Bogdanovic,acquired,activated from IL
6480,2017-10-23,Raptors,Jonas Valanciunas,relinquished,placed on IL with sprained left ankle
6481,2017-10-23,Raptors,Bruno Caboclo,acquired,activated from IL
6482,2017-10-23,Suns,Alec Peters,relinquished,placed on IL
6483,2017-10-23,Suns,Eric Bledsoe,relinquished,placed on IL
6484,2017-10-23,Suns,Jared Dudley,acquired,activated from IL
6485,2017-10-23,Warriors,Andre Iguodala,relinquished,"fined $15,000 by NBA for verbally abusing referee during game"
6486,2017-10-23,Warriors,Quinn Cook,relinquished,placed on IL
6487,2017-10-23,Warriors,Stephen Curry,relinquished,"fined $50,000 by NBA for throwing mouth piece in the direction of a ref during game"
6488,2017-10-23,Warriors,Omri Casspi,acquired,activated from IL
6489,2017-10-23,Wizards,Mike Young,relinquished,placed on IL
6490,2017-10-24,Blazers,C.J. Wilcox,relinquished,right knee injury (out indefinitely)
6491,2017-10-24,Bulls,Antonio Blakeney,relinquished,placed on IL
6492,2017-10-24,Clippers,Milos Teodosic / Milos Tedosic,relinquished,placed on IL with plantar fascia in left foot
6493,2017-10-24,Clippers,Jawun Evans,acquired,activated from IL
6494,2017-10-24,Hawks,DeAndre' Bembry / DeAndre Bembry,relinquished,surgery on right wrist to repair fracture
6495,2017-10-24,Jazz,Joe Ingles,relinquished,"fined $15,000 by NBA for making contact in groin of opposing player"
6496,2017-10-24,Jazz,Nate Wolters,relinquished,placed on IL
6497,2017-10-24,Jazz,Tony Bradley,acquired,activated from IL
6498,2017-10-24,Magic,Khem Birch,relinquished,placed on IL
6499,2017-10-24,Magic,Aaron Gordon,acquired,activated from IL
6500,2017-10-24,Magic,Aaron Gordon,acquired,activated from IL
6501,2017-10-24,Nets,Sean Kilpatrick,relinquished,placed on IL with illness
6502,2017-10-24,Rockets,Trevor Ariza,relinquished,sprained left foot (DTD)
6503,2017-10-24,Spurs,Joffrey Lauvergne,relinquished,sprained right ankle (DTD)
6504,2017-10-24,Suns,Josh Jackson,relinquished,"fined $35,000 by NBA for making a menacing gesture and using inappropriate language towards a fan during game"
6505,2017-10-24,Timberwolves,Jimmy Butler,relinquished,upper respiratory illness (DTD)
6506,2017-10-25,76ers,Markelle Fultz,relinquished,sore right shoulder (DTD)
6507,2017-10-25,Blazers,Meyers Leonard,relinquished,sore/sprained right ankle (DTD)
6508,2017-10-25,Cavaliers,Dwyane Wade,relinquished,bruised left knee (DTD)
6509,2017-10-25,Grizzlies,Chandler Parsons,relinquished,rest (DTD)
6510,2017-10-25,Hornets,Michael Kidd-Gilchrist,acquired,returned to lineup
6511,2017-10-25,Jazz,Tony Bradley,relinquished,placed on IL
6512,2017-10-25,Jazz,Rodney Hood,acquired,activated from IL
6513,2017-10-25,Mavericks,Gian Clavell,relinquished,placed on IL
6514,2017-10-25,Mavericks,Devin Harris,acquired,activated from IL
6515,2017-10-25,Nets,D'Angelo Russell,relinquished,placed on IL with sprained right knee
6516,2017-10-25,Nets,Sean Kilpatrick,acquired,returned to lineup
6517,2017-10-25,Pistons,Boban Marjanovic,relinquished,placed on IL
6518,2017-10-25,Pistons,Eric Moreland,acquired,activated from IL
6519,2017-10-25,Raptors,Lucas Nogueira,relinquished,sprained left ankle (DTD)
6520,2017-10-25,Rockets,Briante Weber,relinquished,placed on IL
6521,2017-10-25,Rockets,Nene / Nene Hilario / Maybyner Hilario,relinquished,placed on IL with sore left Achilles
6522,2017-10-25,Rockets,Trevor Ariza,relinquished,placed on IL with sprained left foot
6523,2017-10-25,Timberwolves,Jimmy Butler,relinquished,placed on IL with upper respiratory illness
6524,2017-10-25,Warriors,JaVale McGee,relinquished,placed on IL
6525,2017-10-25,Warriors,Kevon Looney,acquired,activated from IL
6526,2017-10-25,Wizards,Jason Smith,acquired,activated from IL
6527,2017-10-26,Bucks,Gary Payton II,relinquished,placed on IL
6528,2017-10-26,Bucks,Malcolm Brogdon,acquired,returned to lineup
6529,2017-10-26,Bulls,Paul Zipser,relinquished,bruised right knee (DTD)
6530,2017-10-26,Bulls,Antonio Blakeney,acquired,activated from IL
6531,2017-10-26,Celtics,Marcus Smart,acquired,activated from IL
6532,2017-10-26,Kings,Bogdan Bogdanovic,acquired,activated from IL
6533,2017-10-26,Mavericks,Devin Harris,relinquished,placed on IL with death in family
6534,2017-10-26,Mavericks,Dorian Finney-Smith,relinquished,left knee tendinitis (DTD)
6535,2017-10-26,Mavericks,Gian Clavell,acquired,activated from IL
6536,2017-10-26,Pelicans,Anthony Davis,relinquished,left knee tendinitis (DTD)
6537,2017-10-26,Warriors,Shaun Livingston,relinquished,personal reasons (DTD)
6538,2017-10-27,Hawks,Nicolas Brussino,relinquished,placed on IL
6539,2017-10-27,Hawks,Dennis Schroder,acquired,activated from IL
6540,2017-10-27,Hawks,Ersan Ilyasova,acquired,returned to lineup
6541,2017-10-27,Hornets,Treveon Graham,relinquished,bruised right quadriceps (DTD)
6542,2017-10-27,Knicks,Ron Baker,relinquished,placed on IL with sore left ankle
6543,2017-10-27,Knicks,Frank Ntilikina,acquired,activated from IL
6544,2017-10-27,Nets,Isaiah Whitehead,relinquished,placed on IL
6545,2017-10-27,Nets,D'Angelo Russell,acquired,activated from IL
6546,2017-10-27,Nets,Sean Kilpatrick,acquired,activated from IL
6547,2017-10-27,Spurs,Joffrey Lauvergne,relinquished,sprained right ankle (DTD)
6548,2017-10-27,Timberwolves,Jimmy Butler,acquired,activated from IL
6549,2017-10-27,Warriors,Jordan Bell,relinquished,placed on IL
6550,2017-10-27,Warriors,Shaun Livingston,relinquished,placed on IL for personal reasons
6551,2017-10-27,Warriors,JaVale McGee,acquired,activated from IL
6552,2017-10-27,Warriors,Quinn Cook,acquired,activated from IL
6553,2017-10-28,76ers,J.J. Redick,relinquished,tightness in lower back (DTD)
6554,2017-10-28,76ers,Jahlil Okafor,relinquished,placed on IL with upper respiratory infection
6555,2017-10-28,76ers,James Michael McAdoo / James McAdoo (Michael),acquired,activated from IL
6556,2017-10-28,Bulls,Antonio Blakeney,relinquished,placed on IL
6557,2017-10-28,Bulls,Ryan Arcidiacono,relinquished,placed on IL
6558,2017-10-28,Bulls,Kris Dunn,acquired,activated from IL
6559,2017-10-28,Bulls,Paul Zipser,acquired,returned to lineup
6560,2017-10-28,Cavaliers,Dwyane Wade,acquired,returned to lineup
6561,2017-10-28,Grizzlies,Kobi Simmons,relinquished,placed on IL
6562,2017-10-28,Mavericks,Gian Clavell,relinquished,placed on IL
6563,2017-10-28,Mavericks,Devin Harris,acquired,activated from IL
6564,2017-10-28,Nets,Quincy Acy,relinquished,strained left groin (DTD)
6565,2017-10-28,Pelicans,Anthony Davis,acquired,returned to lineup
6566,2017-10-28,Pistons,Luke Kennard,relinquished,placed on IL
6567,2017-10-28,Pistons,Boban Marjanovic,acquired,activated from IL
6568,2017-10-28,Rockets,Eric Gordon,relinquished,placed on IL with stomach virus
6569,2017-10-28,Rockets,Nene / Nene Hilario / Maybyner Hilario,acquired,activated from IL
6570,2017-10-28,Rockets,Trevor Ariza,acquired,activated from IL
6571,2017-10-28,Heat,Matt Williams,relinquished,placed on IL
6572,2017-10-28,Pistons,Dwight Buycks,acquired,activated from IL
6573,2017-10-28,Pistons,Reggie Bullock,acquired,reinstated from suspension
6574,2017-10-28,Pistons,Reggie Bullock,acquired,activated from IL
6575,2017-10-29,Bucks,Greg Monroe,relinquished,placed on IL with sore left calf
6576,2017-10-29,Bucks,Rashad Vaughn,acquired,activated from IL
6577,2017-10-29,Cavaliers,Ante Zizic,relinquished,placed on IL
6578,2017-10-29,Cavaliers,Iman Shumpert,relinquished,sore right knee (DTD)
6579,2017-10-29,Cavaliers,Derrick Rose,acquired,activated from IL
6580,2017-10-29,Hawks,Ersan Ilyasova,relinquished,placed on IL with bone bruise in left knee / strained left knee
6581,2017-10-29,Hawks,Nicolas Brussino,acquired,activated from IL
6582,2017-10-29,Hornets,Frank Kaminsky,relinquished,illness (DTD)
6583,2017-10-29,Hornets,Mangok Mathiang,relinquished,placed on IL
6584,2017-10-29,Hornets,Cody Zeller,acquired,returned to lineup
6585,2017-10-29,Hornets,Treveon Graham,acquired,returned to lineup
6586,2017-10-29,Kings,George Hill,relinquished,placed on IL for rest
6587,2017-10-29,Kings,Zach Randolph,relinquished,placed on IL for rest / sore left foot
6588,2017-10-29,Kings,Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis,acquired,activated from IL
6589,2017-10-29,Kings,JaKarr Sampson,acquired,activated from IL
6590,2017-10-29,Magic,Jonathan Isaac,relinquished,placed on IL with illness
6591,2017-10-29,Magic,Khem Birch,acquired,activated from IL
6592,2017-10-29,Nets,DeMarre Carroll,relinquished,placed on IL with sore right ankle
6593,2017-10-29,Nets,Quincy Acy,relinquished,placed on IL with strained left groin
6594,2017-10-29,Nets,Jacob Wiley / Jake Wiley,acquired,activated from IL
6595,2017-10-29,Spurs,Joffrey Lauvergne,relinquished,placed on IL with sprained right ankle
6596,2017-10-29,Spurs,Matt Costello,acquired,activated from IL
6597,2017-10-29,Warriors,Draymond Green,relinquished,"fined $25,000 by NBA for his role in altercation during game"
6598,2017-10-29,Warriors,Quinn Cook,relinquished,placed on IL
6599,2017-10-29,Warriors,Shaun Livingston,acquired,activated from IL
6600,2017-10-29,Wizards,Bradley Beal,relinquished,"fined $50,000 for his role in altercation during game"
6601,2017-10-29,Wizards,Carrick Felix,relinquished,"suspended by NBA for 1 game (forfeited $9,000 in salary) for leaving the bench during an altercation during game"
6602,2017-10-29,Wizards,Kelly Oubre Jr.,relinquished,"fined $15,000 by NBA for his role in altercation during game"
6603,2017-10-29,Wizards,Markieff Morris,relinquished,suspended by NBA for 1 game (forfeited $55K in salary) for leaving the bench during an altercation during game
6604,2017-10-29,Nets,Isaiah Whitehead,acquired,activated from IL
6605,2017-10-30,76ers,J.J. Redick,relinquished,placed on IL with tightness in lower back
6606,2017-10-30,76ers,James Michael McAdoo / James McAdoo (Michael),relinquished,placed on IL
6607,2017-10-30,76ers,Markelle Fultz,relinquished,placed on IL with sore right shoulder
6608,2017-10-30,76ers,Furkan Korkmaz,acquired,activated from IL
6609,2017-10-30,76ers,Jahlil Okafor,acquired,activated from IL
6610,2017-10-30,Celtics,Jabari Bird,relinquished,placed on IL
6611,2017-10-30,Grizzlies,Ivan Rabb,relinquished,placed on IL
6612,2017-10-30,Heat,Okaro White,relinquished,placed on IL
6613,2017-10-30,Heat,Okaro White,acquired,activated from IL
6614,2017-10-30,Hornets,Frank Kaminsky,acquired,returned to lineup
6615,2017-10-30,Magic,Jonathan Isaac,acquired,activated from IL
6616,2017-10-30,Mavericks,Dorian Finney-Smith,relinquished,placed on IL with left knee tendinitis
6617,2017-10-30,Mavericks,Gian Clavell,acquired,activated from IL
6618,2017-10-30,Pelicans,Charles Cooke,relinquished,placed on IL
6619,2017-10-30,Pelicans,Jalen Jones,relinquished,placed on IL
6620,2017-10-30,Raptors,Serge Ibaka,relinquished,swollen left / right knee (DTD)
6621,2017-10-30,Raptors,Lucas Nogueira,acquired,returned to lineup
6622,2017-10-30,Rockets,Briante Weber,relinquished,placed on IL
6623,2017-10-30,Rockets,Eric Gordon,acquired,activated from IL
6624,2017-10-30,Spurs,Emanuel Ginobili / Manu Ginobili,relinquished,rest (DTD)
6625,2017-10-30,Warriors,Kevon Looney,relinquished,placed on IL
6626,2017-10-30,Warriors,Jordan Bell,acquired,activated from IL
6627,2017-10-31,Jazz,Joe Johnson,relinquished,sore right wrist (DTD)
6628,2017-10-31,Kings,Garrett Temple,relinquished,placed on IL for rest
6629,2017-10-31,Kings,JaKarr Sampson,relinquished,placed on IL
6630,2017-10-31,Kings,George Hill,acquired,activated from IL
6631,2017-10-31,Kings,Zach Randolph,acquired,activated from IL
6632,2017-10-31,Nets,Isaiah Whitehead,relinquished,placed on IL
6633,2017-10-31,Nets,Jarrett Allen,relinquished,strained left foot (DTD)
6634,2017-10-31,Nets,DeMarre Carroll,acquired,activated from IL
6635,2017-11-01,76ers,J.J. Redick,acquired,activated from IL
6636,2017-11-01,Blazers,Meyers Leonard,relinquished,placed on IL with sprained right ankle
6637,2017-11-01,Blazers,Noah Vonleh,acquired,activated from IL
6638,2017-11-01,Cavaliers,Iman Shumpert,relinquished,placed on IL with sore right knee
6639,2017-11-01,Cavaliers,Ante Zizic,acquired,activated from IL
6640,2017-11-01,Grizzlies,Mike Conley Jr.,relinquished,sore left Achilles (DTD)
6641,2017-11-01,Grizzlies,Kobi Simmons,acquired,activated from IL
6642,2017-11-01,Hawks,Josh Magette,relinquished,placed on IL
6643,2017-11-01,Heat,James Johnson,relinquished,tendinitis in right knee (DTD)
6644,2017-11-01,Heat,Hassan Whiteside,acquired,activated from IL
6645,2017-11-01,Jazz,Joe Johnson,relinquished,placed on IL with sore right wrist
6646,2017-11-01,Jazz,Tony Bradley,acquired,activated from IL
6647,2017-11-01,Kings,Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis,relinquished,placed on IL
6648,2017-11-01,Kings,Garrett Temple,acquired,activated from IL
6649,2017-11-01,Mavericks,Gian Clavell,relinquished,placed on IL
6650,2017-11-01,Pistons,Jon Leuer,relinquished,sprained left ankle (DTD)
6651,2017-11-01,Raptors,Bruno Caboclo,relinquished,placed on IL
6652,2017-11-01,Raptors,Jonas Valanciunas,acquired,activated from IL
6653,2017-11-01,Raptors,Serge Ibaka,acquired,returned to lineup
6654,2017-11-01,Rockets,Troy Williams,relinquished,placed on IL
6655,2017-11-01,Wizards,Otto Porter Jr.,relinquished,placed on IL with stomach virus
6656,2017-11-01,Wizards,Carrick Felix,acquired,reinstated from suspension
6657,2017-11-01,Wizards,Markieff Morris,acquired,activated from IL
6658,2017-11-01,Grizzlies,Ivan Rabb,acquired,activated from IL
6659,2017-11-02,Blazers,Al-Farouq Aminu,relinquished,placed on IL with sprained right ankle
6660,2017-11-02,Cavaliers,Tristan Thompson,relinquished,strained left calf (out indefinitely)
6661,2017-11-02,Lakers,Andrew Bogut,relinquished,tightness in back (DTD)
6662,2017-11-02,Magic,D.J. Augustine,relinquished,strained left hamstring (DTD)
6663,2017-11-02,Spurs,Matt Costello,relinquished,placed on IL
6664,2017-11-02,Spurs,Emanuel Ginobili / Manu Ginobili,acquired,returned to lineup
6665,2017-11-02,Wizards,Markieff Morris,acquired,reinstated from suspension
6666,2017-11-02,Wizards,Devin Robinson,acquired,activated from IL
